param level:=42; 
param p:= 65521; 
param uba:= 32760; 
param halfn:= 42; 
param: i:
       Mset:=
      1 0
      2 1
      3 2
      4 3
      5 4
      6 5
      7 6
      8 7
      9 8
      10 9
      11 10
      12 11
      13 12
      14 13
      15 14
      16 15
      17 16
      18 17
      19 18
      20 19
      21 20
      22 21
      23 22
      24 23
      25 24
      26 25
      27 26
      28 27
      29 27
      30 26
      31 25
      32 24
      33 23
      34 22
      35 21
      36 20
      37 19
      38 18
      39 17
      40 16
      41 15
      42 14; 
param T:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42:=
        1 27308 32335 45071 33675 40909 27775 55377 25633 53780 17483 24706 33884
 14465 56035 46437 22822 31615 50797 56620 21508  5755 29483 57459  5419
 24208 57172 65228 18712 47680   409 46778 34457  1337 58115 45354 32898
 55940 52932 47200  9323 17449 20871 23208 39501 45718  1053 25847 59590
 58805  9496 47999 15250 14691 18089 16971
        2 16971 27308 32335 45071 33675 40909 27775 55377 25633 53780 17483 24706
 33884 14465 56035 46437 22822 31615 50797 56620 21508  5755 29483 57459
  5419 24208 57172 65228 18712 47680   409 46778 34457  1337 58115 45354
 32898 55940 52932 47200  9323 17449 20871 23208 39501 45718  1053 25847
 59590 58805  9496 47999 15250 14691 18089
        3 18089 16971 27308 32335 45071 33675 40909 27775 55377 25633 53780 17483
 24706 33884 14465 56035 46437 22822 31615 50797 56620 21508  5755 29483
 57459  5419 24208 57172 65228 18712 47680   409 46778 34457  1337 58115
 45354 32898 55940 52932 47200  9323 17449 20871 23208 39501 45718  1053
 25847 59590 58805  9496 47999 15250 14691
        4 14691 18089 16971 27308 32335 45071 33675 40909 27775 55377 25633 53780
 17483 24706 33884 14465 56035 46437 22822 31615 50797 56620 21508  5755
 29483 57459  5419 24208 57172 65228 18712 47680   409 46778 34457  1337
 58115 45354 32898 55940 52932 47200  9323 17449 20871 23208 39501 45718
  1053 25847 59590 58805  9496 47999 15250
        5 15250 14691 18089 16971 27308 32335 45071 33675 40909 27775 55377 25633
 53780 17483 24706 33884 14465 56035 46437 22822 31615 50797 56620 21508
  5755 29483 57459  5419 24208 57172 65228 18712 47680   409 46778 34457
  1337 58115 45354 32898 55940 52932 47200  9323 17449 20871 23208 39501
 45718  1053 25847 59590 58805  9496 47999
        6 47999 15250 14691 18089 16971 27308 32335 45071 33675 40909 27775 55377
 25633 53780 17483 24706 33884 14465 56035 46437 22822 31615 50797 56620
 21508  5755 29483 57459  5419 24208 57172 65228 18712 47680   409 46778
 34457  1337 58115 45354 32898 55940 52932 47200  9323 17449 20871 23208
 39501 45718  1053 25847 59590 58805  9496
        7  9496 47999 15250 14691 18089 16971 27308 32335 45071 33675 40909 27775
 55377 25633 53780 17483 24706 33884 14465 56035 46437 22822 31615 50797
 56620 21508  5755 29483 57459  5419 24208 57172 65228 18712 47680   409
 46778 34457  1337 58115 45354 32898 55940 52932 47200  9323 17449 20871
 23208 39501 45718  1053 25847 59590 58805
        8 58805  9496 47999 15250 14691 18089 16971 27308 32335 45071 33675 40909
 27775 55377 25633 53780 17483 24706 33884 14465 56035 46437 22822 31615
 50797 56620 21508  5755 29483 57459  5419 24208 57172 65228 18712 47680
   409 46778 34457  1337 58115 45354 32898 55940 52932 47200  9323 17449
 20871 23208 39501 45718  1053 25847 59590
        9 59590 58805  9496 47999 15250 14691 18089 16971 27308 32335 45071 33675
 40909 27775 55377 25633 53780 17483 24706 33884 14465 56035 46437 22822
 31615 50797 56620 21508  5755 29483 57459  5419 24208 57172 65228 18712
 47680   409 46778 34457  1337 58115 45354 32898 55940 52932 47200  9323
 17449 20871 23208 39501 45718  1053 25847
        10 25847 59590 58805  9496 47999 15250 14691 18089 16971 27308 32335 45071
 33675 40909 27775 55377 25633 53780 17483 24706 33884 14465 56035 46437
 22822 31615 50797 56620 21508  5755 29483 57459  5419 24208 57172 65228
 18712 47680   409 46778 34457  1337 58115 45354 32898 55940 52932 47200
  9323 17449 20871 23208 39501 45718  1053
